,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,class
99789,67281.0,-0.89221153,0.422794057,0.098428279,-0.550370921,-3.485292905,2.164113119,-1.561918804,-6.209458167,0.949982305,-2.255004894,-0.239438006,0.822016383,-0.794962262,0.866623817,2.393568965,-0.733402503,1.079029011,-0.023021236,1.535543558,0.958255156,-1.849650913,0.830184766,-0.225533817,0.164057048,0.12137026,0.259101365,0.536426153,0.15946822,500.0,0
76510,56604.0,0.739032648,-0.561332988,1.085235223,1.082975059,-0.16384282,2.208533172,-0.840440172,0.786368758,0.531865565,-0.28259164,1.946359489,1.798411505,0.362398052,-0.114861241,0.527892243,-1.000472668,0.680106498,-1.54869982,-1.505582982,-0.034649247,0.172097983,0.622576465,0.020590872,-0.990242851,0.051308531,-0.309725548,0.125080723,0.031042092,105.0,0
266475,162344.0,-0.663494094,0.349452168,0.464813419,-1.772132265,1.813337567,4.530121408,-0.69475143,0.420087564,0.475909417,-0.900070382,-0.244642128,0.062635301,-0.086891207,-0.111744935,1.270352641,0.165795364,-0.530046631,0.312508677,0.081582746,-0.120710894,0.880213394,0.095339392,-0.002108446,0.70462037,-0.300116954,0.048460698,0.232474308,0.136130673,47.5,0
243186,151834.0,1.8936848,-0.367572768,-0.805154787,0.492819751,-0.384895945,-0.80383392,-0.053713807,-0.234883099,0.979956994,-0.164938603,-0.771079909,0.759635208,0.618610564,0.022377944,0.420279306,-0.173900252,-0.429213997,-0.279860056,-0.152171212,-0.080504175,0.077723097,0.323212054,0.105491399,-0.061675498,-0.063232335,-0.339551705,0.007817728,-0.03375543,68.18,0
13432,23765.0,-6.25726776,-4.799119404,-0.389479217,1.314957683,0.411875441,0.355027067,1.925089373,-0.169486173,1.689391231,-0.391405501,-0.354732404,-3.236755256,1.944398721,1.274450851,1.27607244,1.02828794,-0.10347927,0.216560192,0.281081577,-1.033577762,-1.158799905,-0.720884728,2.736687746,-1.37399915,1.15550108,0.381775155,1.114491438,-0.274602125,683.34,0
51904,45181.0,-1.740852492,1.736930947,-1.136593657,0.216246241,2.23844581,4.372897907,-1.412278259,-3.248709759,-0.15529875,1.004446455,-0.177664976,-0.003254064,-0.012595495,0.495835702,1.736773196,-0.325213095,-0.067539983,0.678480367,1.675103597,-0.84971829,3.91103685,-1.052927391,0.57594737,0.946673872,-0.088770332,-0.178498925,-0.19126281,0.195713904,5.48,0
124796,77427.0,-1.972328945,-0.83361449,1.765374549,0.353755994,0.588652909,-0.179963806,-1.177907961,1.06709885,0.179897109,-0.844348836,0.304944703,0.231559889,-1.522777179,0.500961489,-0.306863349,0.709685432,-0.513643993,0.554243548,-1.037651575,0.0264626,0.26443879,0.096240669,-0.169804152,-0.3478033,0.063794192,-0.53346037,-0.03664368,-0.289701875,1.0,0
227115,144940.0,-1.577992994,0.830500182,0.426978392,0.540751723,-0.545820516,-0.13568051,0.06365149,0.514236567,-1.60126347,-0.213461645,0.93861337,-0.640157301,-1.035082037,-1.638003942,0.244613578,-0.816925348,1.816766728,3.089591255,-0.27868202,-0.45071486,-0.390561947,-0.657785325,-0.402213237,-0.237605117,0.432327253,-0.387586742,0.0922404,0.049230033,109.0,0
9672,14456.0,1.160531535,-0.087203167,0.869200243,0.159599443,-0.576654856,-0.041851746,-0.606591593,0.073628673,1.451204892,-0.39960466,2.58528804,-1.51532995,1.832126488,1.670869305,0.114939957,0.384436067,0.313274439,0.183948759,-0.472676021,-0.092508744,0.014457525,0.30822136,-0.000557156,0.038838165,0.108998735,1.043173088,-0.075764921,-0.007494191,15.95,0
158234,111099.0,-0.498080147,0.84707377,2.408625199,-0.119941573,0.172600646,-0.266825507,0.53676113,-0.265467597,1.47308399,-1.152570872,0.356067807,-2.439825448,1.930160789,1.201169373,0.617358944,-0.347106611,0.338558876,0.397826995,0.467781526,0.071256041,-0.300656046,-0.388215176,-0.30162208,-0.109177613,0.258780546,-0.725689791,-0.074723324,-0.145733428,2.12,0
235619,148469.0,-1.217955777,0.905990715,0.539915533,-2.728983844,0.460232727,-0.349360799,0.612276413,0.536766982,-0.038309302,-1.438898232,-0.467360528,0.10796961,-0.824959868,0.529400351,-1.093103127,0.892159492,-1.097379749,0.43878063,-0.188502312,-0.14718608,-0.070644766,-0.301194748,-0.51914523,-1.005414719,0.881877756,0.812528966,0.010656578,0.000912242,12.6,0
185704,126784.0,2.017743411,0.170784745,-1.58730016,0.338245104,0.456178964,-0.643244968,0.144902315,-0.149494787,0.094004703,-0.234721382,1.441861147,1.344484191,0.788125314,-0.803763726,-0.601108629,0.418868665,0.242800067,0.023559263,0.265821607,-0.095166927,-0.290372745,-0.729292999,0.33960761,0.692874839,-0.285100963,0.13965842,-0.060946291,-0.036761818,2.69,0
73653,55222.0,-1.267958421,0.384213613,2.010179765,-0.63157855,0.235198025,-1.117558505,0.262145749,-0.210899789,-0.315636591,-0.515624079,-0.162875318,0.448930047,1.13182081,-0.248725902,1.051834162,0.215977737,-0.376224203,-0.395563902,0.312238444,-0.049668807,-0.079080244,-0.224470487,-0.301925749,0.476169498,0.02765821,0.914228351,-0.235261529,0.102185317,17.82,0
92049,63749.0,1.12189064,0.061177438,0.953240716,0.957409986,-0.539742979,0.153442093,-0.513846419,0.281622118,0.189072523,0.103947112,1.418841097,0.648031371,-0.670667944,0.471653513,0.920783884,0.427995505,-0.548636483,0.178407759,-0.556123119,-0.200838804,0.009674972,0.021819114,0.088222999,-0.021062225,0.19623675,-0.496889956,0.058251037,0.021276301,0.0,0
114810,73626.0,-2.345008989,0.523186962,1.720713118,0.045911088,-0.333520784,1.726977439,-1.352382976,1.891821194,0.077411953,-0.714370963,1.501964638,0.928058247,-1.303331709,0.619093937,0.543519154,-0.809448107,1.319232944,-1.367234121,-1.189498965,-0.122704199,0.145313544,0.44734232,-0.137767049,-0.789079027,-0.122123442,0.473103921,0.275375378,-0.073103118,6.09,0
187844,127714.0,-0.987926227,1.250649296,-1.587220451,-0.175260798,-0.087478342,-0.917082336,0.29332402,0.620322248,-0.218068036,-0.936228609,0.354919128,-0.323171212,-1.660956746,0.132024863,0.179963511,0.690298706,0.553278404,1.607054079,0.247001274,-0.570091119,0.40655221,0.897199003,-0.145256509,-0.444002014,-0.421733617,-0.180829189,-0.452107963,-0.049419013,71.04,0
147039,88057.0,-0.727694169,0.341422261,0.759428335,-2.241722769,1.103268058,-0.568403009,0.976310188,-0.62482493,-1.483965356,0.200285577,-1.388106735,-0.446407711,1.769097746,-0.811391369,-0.643153614,0.713831516,-0.211247062,-1.63905495,1.219562345,0.179479837,-0.070655165,-0.052525742,-0.695072918,-0.933242677,0.926410845,-0.150318508,-0.394690764,-0.194285868,15.0,0
195190,130937.0,0.033145285,0.759704804,-0.413543299,-0.474049645,0.88309809,-1.00030612,0.766671769,-0.010231789,0.203695058,-0.774504789,-0.924376128,-0.943362758,-1.598988585,-0.688634809,-0.060989213,0.389985383,0.477231342,-0.029354335,-0.234382079,-0.042262981,-0.343713139,-0.966881824,0.153084085,0.584957887,-0.474063321,0.114713895,0.205966921,0.084562896,4.49,0
240044,150404.0,-0.434862375,0.392424585,-0.04266778,-1.671695469,2.570784945,3.96874372,-0.298113662,0.818319944,1.079021004,-0.153285133,0.25797703,-0.393340416,-0.206747087,-1.989234756,0.994786938,0.772694087,-0.13753705,0.511066895,-0.85317036,0.352080647,-0.137048423,0.08436846,-0.085503968,0.613575866,-0.532829596,0.313859714,-0.009811107,-0.239399232,5.6,0
92732,64069.0,1.175174847,0.137933735,0.501313522,0.456349307,-0.252655184,-0.201938917,-0.133449559,0.092001619,-0.187141452,0.065284072,1.667430466,1.03347356,0.005834583,0.504801536,0.605883952,0.21685276,-0.384362237,-0.470234246,-0.185529493,-0.12803926,-0.180899873,-0.534421069,0.156224733,0.007028977,0.108015898,0.107692076,-0.017639243,0.004883119,1.29,0
211383,138388.0,-0.330240347,1.189174525,0.359357632,4.745861937,0.320275233,1.095777566,0.070261704,0.528597684,-1.357377303,1.322895262,-2.388034315,0.10482161,1.333512228,-0.263989786,-1.248589732,-0.64034575,0.485231142,0.262341921,1.598140884,0.398297432,0.410874151,1.502419423,-0.053608281,-0.556761125,-0.754554194,0.630514378,0.442709048,0.233757225,66.01,0
257409,158148.0,2.115725036,0.009580872,-1.356776882,0.229173442,0.321451748,-0.757089088,0.244195375,-0.349951005,0.425001083,0.041716287,-1.224460659,0.780705707,1.305649759,0.009472923,-0.026748619,0.062081145,-0.624873568,-0.760411899,0.422009223,-0.128554886,-0.325838975,-0.746784938,0.233768925,-0.685401494,-0.160536898,0.238831281,-0.064498269,-0.065147543,1.98,0
98619,66734.0,1.315348697,0.388191996,-0.026115607,0.491181825,0.101587233,-0.582502487,0.123191734,-0.196352216,-0.028116187,-0.30433882,-0.682506223,0.3745265,1.153638295,-0.492957743,1.068748316,0.685931524,-0.354278937,-0.122104875,0.11206171,-0.003706,-0.333527376,-0.919400526,0.015487159,-0.487010217,0.354011569,0.144407924,-0.019009016,0.023900315,1.98,0
85250,60677.0,0.010829301,0.109349046,-0.250525848,-1.931917911,-0.005865066,-1.734478734,1.202002149,-0.696213382,-3.456397342,1.113608733,-0.622008731,-1.245260304,0.388607402,0.272502678,-0.552511634,-1.636508823,0.964600863,-0.282091064,0.150699403,-0.205057958,0.215062701,0.999108844,-0.47777986,0.456475236,0.977322664,0.321629608,-0.023852447,0.019038984,51.85,0
68726,53115.0,1.027141619,-0.767152928,0.441969643,-1.316597268,-1.005828489,-0.455255878,-0.390432563,0.086094571,1.412825482,-1.048951409,1.724529726,1.502583635,-0.319794648,0.261243534,0.671172885,-0.793282331,0.155197536,-0.117874966,0.680585261,0.046732522,0.115170285,0.369871539,-0.106216177,0.28462865,0.369949631,0.010515353,0.018606858,0.020025045,91.0,0
65041,51408.0,-2.612166716,1.384606537,-0.099378861,-2.542641447,1.255801892,-1.48179899,1.360443749,-1.148468723,2.007792142,1.136977116,-0.663809178,0.297082427,0.616094382,-0.743382021,0.840304532,-0.830366607,-1.03311415,-0.199590386,0.253777373,-0.008239211,-0.137828379,0.248799112,-0.770035916,-0.40371622,0.593529247,-0.892586974,-0.95908032,0.104451561,6.04,0
261981,160262.0,2.087878582,0.236748159,-2.890194396,0.343523635,1.269456975,-0.875180607,0.779427988,-0.436577548,0.076902985,-0.398333068,-0.97344324,-0.015497946,0.364814208,-0.834968689,-0.108574927,-0.078957921,0.662087546,-0.084407259,0.124495587,-0.05698416,0.009755098,0.159651284,-0.134130447,0.011265913,0.476998651,0.721129185,-0.104494531,-0.049843246,39.6,0
147671,88823.0,2.031285411,-0.055264966,-3.060936073,0.249569649,2.941514359,3.299417045,0.000461498,0.674262716,0.045590137,0.283932749,-0.254874591,0.325642153,-0.404969973,0.7215212,-0.148193546,-0.753765592,-0.270783063,-0.695288067,-0.275049915,-0.223206196,0.039840068,0.227141444,0.033779614,0.707192613,0.512150245,-0.471410929,0.002141991,-0.068653448,4.99,0
46871,42964.0,1.24894185,-0.713767626,0.134022369,-1.092101543,-0.652719862,0.060901495,-0.583720747,0.120262204,-1.14658119,0.718150858,1.681766835,0.665100538,0.14866267,0.394717328,0.690353877,-1.697871306,0.346870376,0.380690044,-1.079678494,-0.467257132,-0.28134858,-0.34554517,0.091465509,-0.222965245,0.006116691,1.460274153,-0.069787566,-0.014290101,30.43,0
52426,45450.0,1.217710287,0.357690463,0.439301118,0.773906867,-0.513165127,-1.250003331,0.12400711,-0.243082775,-0.034080029,-0.295362144,0.274162181,0.494855318,0.456142105,-0.322986231,1.039795264,0.371183444,0.097083617,-0.438876371,-0.325755451,-0.056293641,-0.257926282,-0.750839909,0.1589663,0.679743646,0.179273318,0.072377241,-0.022327447,0.036169322,9.99,0
92369,63901.0,-2.075313047,2.272369353,-0.251519833,-0.159833206,-0.896992821,-0.693699578,-0.528662801,1.437038689,-0.477467503,-0.073681741,0.72307605,0.70840036,-0.291814792,0.598270438,0.210820137,1.008687041,0.149189566,0.598600263,0.220285281,0.149464565,-0.206015858,-0.786849585,0.118399577,-0.076054142,0.056551654,0.097113423,0.18370369,0.073140187,9.86,0
207997,136930.0,1.687842661,-1.349181657,-0.147243356,-0.181131477,-1.222824945,0.187348492,-1.063681694,0.171838461,1.719993799,-0.184839215,-1.223303324,-0.027863387,0.009031532,-0.442212665,1.107136545,1.007598867,-0.752758073,0.405190108,-0.203880239,0.225484622,0.255754316,0.477593093,0.130147221,0.555410101,-0.719520301,1.211985755,-0.08344586,-0.011312316,179.4,0
82782,59549.0,1.262328434,0.272277427,0.517887465,0.61680163,-0.453739882,-0.984532487,0.079055911,-0.220445889,0.00466377,-0.073238334,-0.17371237,0.511032384,0.584849975,0.185301509,1.002521073,0.291289841,-0.439944155,-0.574154475,-0.118892389,-0.077517746,-0.255110444,-0.722724562,0.133429749,0.382062007,0.227423436,0.094045234,-0.027151009,0.019414404,0.99,0
101855,67964.0,-1.439556054,0.565658982,2.67801549,0.553275005,-0.185121333,0.84362638,0.148190494,0.424327058,0.594472547,-0.658110692,0.493512763,1.088637211,-1.087707447,-0.678235617,-2.86305417,-0.885100222,0.413323576,-0.776752665,-0.012201602,-0.32466778,-0.2773307,-0.561241284,-0.096149977,0.19101971,0.345189338,-0.64560018,-0.31295091,0.115408393,12.6,0
193172,130023.0,2.039611773,-0.117298961,-1.21163377,0.198676422,0.142393432,-0.575542607,0.059351767,-0.137526698,0.304586857,0.233877919,0.654701129,1.026542786,0.065903492,0.449516813,-0.5862221,0.147953079,-0.628672344,-0.335659615,0.514146548,-0.20637505,-0.257984454,-0.634510285,0.285375096,-0.465545785,-0.289428602,0.208325592,-0.071670068,-0.074763853,1.29,0
128453,78716.0,-1.424096826,0.212715456,1.066578895,-0.221324245,-0.063611704,0.141441596,0.250899862,0.566970279,0.320379621,-1.12081808,-2.150969625,0.531541108,0.75349862,-0.506004799,-1.557710043,0.05766019,-0.229000246,-0.214396634,0.145260906,0.319597763,-0.011302075,-0.08069232,-0.061695244,-0.544466962,0.288366142,0.427071878,0.173826442,0.042158795,111.98,0
125839,77823.0,0.985835269,-0.446548608,-1.607959843,0.200233075,2.18192783,3.427698172,-0.053650444,0.716277743,-0.03097245,-0.075376921,-0.401040569,0.159784259,-0.165653826,0.434254595,0.238686875,-0.069876169,-0.591437515,0.049664227,0.245277743,0.287767688,0.010721817,-0.322865472,-0.328221866,1.028742985,0.945298351,-0.278639838,-0.017777833,0.035119326,165.83,0
